,00:0f:e2:a1:96:60,06:14:4b:65:38:a6,06:1b:b1:20:a4:35,06:1b:b1:22:36:17,06:1b:b1:22:3b:72,06:1b:b1:22:3b:7a,06:1b:b1:22:3f:ca,06:1b:b1:22:43:2d,06:1b:b1:22:43:54,06:1b:b1:22:43:65,06:1b:b1:22:43:e6,06:1b:b1:22:44:a9,0e:14:4b:65:38:a6,0e:1b:b1:20:a4:35,0e:1b:b1:22:34:2a,0e:1b:b1:22:36:17,0e:1b:b1:22:3b:72,0e:1b:b1:22:3b:7a,0e:1b:b1:22:3f:ca,0e:1b:b1:22:43:2d,0e:1b:b1:22:43:54,0e:1b:b1:22:43:65,0e:1b:b1:22:43:e6,0e:1b:b1:22:44:a9,14:e6:e4:38:16:8c,14:e6:e4:70:1c:60,14:e6:e4:70:ad:a2,20:dc:e6:bc:7e:8c,38:83:45:69:eb:a8,8c:21:0a:37:50:7a,xLabel,yLabel,locaLabel,RoomLabel
174,-70.8,-77.4,-61.2,-64.2,-43.4,-40.8,-62.2,-61.6,-62.4,-74.4,-62.6,-54.8,-77.8,-61.6,-76.2,-64.0,-43.2,-40.4,-62.6,-63.0,-61.6,-70.6,-63.0,-55.0,-56.4,-65.2,-32.0,-78.0,-74.0,-63.4,19.98,18.4,84.0,10.0
175,-70.0,-73.0,-60.2,-65.6,-54.6,-46.4,-61.6,-77.4,-64.8,-70.2,-67.6,-50.0,-73.0,-59.6,-80.8,-65.8,-54.8,-46.6,-62.0,-77.6,-64.2,-69.6,-67.4,-49.6,-48.8,-72.0,-48.6,-67.6,-75.2,-64.8,19.98,11.8,95.0,10.0
176,-77.4,-76.2,-62.4,-63.0,-46.8,-41.0,-59.0,-65.6,-60.6,-77.2,-64.0,-54.6,-76.0,-63.2,-75.0,-62.8,-46.8,-40.8,-58.8,-69.2,-60.6,-80.0,-64.0,-54.6,-60.8,-63.6,-38.8,-75.0,-71.0,-69.8,19.98,19.0,83.0,10.0
177,-74.33333333333333,-72.4,-59.2,-61.8,-42.6,-40.4,-55.8,-62.8,-58.4,-75.4,-62.2,-54.2,-74.2,-58.2,-75.0,-61.8,-42.2,-40.0,-55.8,-63.0,-59.6,-76.0,-62.4,-54.0,-64.6,-60.4,-31.2,-75.0,-73.4,-64.2,19.98,19.6,82.0,10.0
178,-73.4,-86.0,-61.6,-59.8,-45.2,-44.4,-67.4,-74.0,-64.2,-74.8,-66.4,-56.2,-88.0,-62.4,-77.2,-60.0,-45.0,-44.2,-67.2,-71.4,-63.8,-75.2,-66.0,-57.0,-65.0,-65.4,-27.2,-75.0,-75.2,-69.4,19.98,20.2,81.0,10.0
179,-81.66666666666667,-86.0,-62.8,-59.6,-46.2,-45.4,-66.8,-70.8,-64.8,-75.2,-69.4,-58.6,-88.0,-63.0,-78.0,-59.4,-46.0,-45.8,-66.6,-71.4,-64.6,-73.6,-69.8,-58.8,-68.2,-65.6,-29.2,-73.66666666666667,-77.2,-64.0,19.98,20.8,80.0,10.0
180,-79.4,-78.8,-62.0,-53.4,-49.4,-43.6,-57.6,-69.4,-63.0,-82.2,-69.2,-62.4,-78.8,-64.2,-74.8,-54.0,-49.4,-43.6,-57.6,-72.8,-63.8,-82.6,-69.2,-62.2,-60.6,-54.8,-34.6,-71.0,-74.2,-63.6,20.58,21.4,114.0,10.0
181,-82.0,-80.0,-62.4,-66.8,-59.2,-48.2,-64.4,-71.8,-63.2,-72.0,-67.2,-54.6,-83.8,-63.0,-78.0,-66.2,-59.0,-49.4,-64.4,-73.2,-64.0,-72.2,-67.4,-54.6,-50.0,-65.4,-51.2,-69.4,-90.0,-67.2,20.58,12.4,99.0,10.0
182,-90.0,-79.0,-64.4,-66.8,-61.2,-53.4,-67.6,-73.0,-68.2,-73.0,-64.8,-55.2,-85.0,-64.0,-77.2,-66.4,-61.0,-53.2,-67.8,-73.4,-67.4,-73.0,-64.6,-55.4,-45.0,-70.4,-49.4,-63.4,-76.2,-57.2,20.58,11.2,97.0,10.0
183,-69.25,-75.6,-62.2,-70.2,-59.2,-45.2,-65.2,-69.6,-62.2,-67.8,-64.6,-54.0,-70.4,-62.2,-75.0,-71.0,-59.0,-46.2,-65.6,-69.6,-63.4,-68.2,-65.2,-53.8,-52.8,-65.8,-52.2,-71.0,-90.0,-67.2,20.58,13.0,100.0,10.0
184,-66.75,-69.8,-60.4,-62.6,-56.8,-46.0,-65.6,-68.0,-58.8,-70.8,-62.0,-53.6,-70.2,-65.8,-76.6,-62.0,-56.4,-44.4,-67.4,-68.0,-59.4,-71.0,-62.2,-53.2,-52.6,-64.2,-56.0,-69.6,-64.6,-62.2,20.58,13.6,101.0,10.0
185,-68.8,-68.6,-62.2,-66.4,-52.4,-42.8,-64.6,-71.6,-56.8,-72.0,-50.0,-58.6,-68.8,-62.8,-77.0,-67.2,-52.4,-43.2,-64.6,-71.6,-57.4,-70.0,-50.0,-58.2,-47.8,-64.4,-53.0,-69.6,-73.0,-64.2,20.58,14.2,102.0,10.0
186,-68.2,-68.0,-62.0,-65.2,-51.2,-45.8,-63.6,-70.0,-53.4,-75.6,-48.0,-58.8,-69.2,-62.0,-75.0,-64.6,-51.2,-44.2,-64.2,-69.2,-53.4,-71.2,-48.0,-58.6,-56.8,-63.8,-56.2,-68.8,-75.2,-65.2,20.58,14.8,103.0,10.0
187,-68.8,-70.4,-61.0,-68.2,-51.8,-38.8,-62.6,-72.6,-52.0,-79.4,-53.0,-56.2,-70.0,-60.8,-75.0,-67.4,-52.0,-39.4,-62.8,-72.2,-52.2,-76.4,-53.0,-56.4,-53.2,-64.4,-48.0,-68.66666666666667,-76.6,-65.2,20.58,15.4,104.0,10.0
188,-73.2,-70.0,-61.2,-64.0,-44.4,-37.6,-61.0,-73.4,-52.8,-78.2,-61.8,-56.0,-70.0,-61.0,-75.0,-65.2,-44.2,-36.2,-61.2,-72.6,-52.6,-78.0,-62.0,-56.0,-63.2,-64.2,-49.6,-68.2,-74.4,-65.2,20.58,16.0,105.0,10.0
189,-78.8,-80.6,-63.4,-59.8,-39.8,-42.0,-61.8,-62.6,-54.6,-74.8,-57.8,-60.0,-80.2,-60.4,-77.0,-60.0,-40.0,-43.4,-61.8,-62.8,-55.4,-74.8,-57.4,-60.2,-58.2,-64.0,-46.8,-68.0,-76.4,-66.2,20.58,16.6,106.0,10.0
190,-74.2,-73.6,-64.6,-62.8,-39.4,-42.6,-59.4,-61.0,-53.6,-75.2,-57.0,-58.8,-73.4,-64.4,-78.6,-63.0,-39.0,-42.6,-59.4,-60.8,-53.8,-75.4,-56.6,-59.0,-60.6,-65.5,-46.6,-77.0,-74.4,-67.2,20.58,17.2,107.0,10.0
191,-70.4,-75.2,-64.0,-60.8,-39.8,-42.6,-60.0,-58.8,-55.4,-75.2,-63.8,-56.4,-75.2,-62.6,-73.0,-60.8,-39.8,-43.8,-60.0,-58.6,-56.8,-75.4,-63.6,-56.6,-55.2,-65.6,-44.8,-69.2,-73.0,-66.2,20.58,17.8,108.0,10.0
192,-72.2,-78.0,-62.4,-63.8,-40.2,-44.4,-64.6,-60.6,-56.2,-73.0,-68.2,-59.6,-78.2,-61.4,-72.6,-63.8,-40.4,-44.2,-64.8,-60.6,-56.6,-75.6,-68.0,-59.8,-62.4,-66.4,-42.0,-68.0,-69.4,-65.2,20.58,18.4,109.0,10.0
193,-82.0,-79.2,-63.6,-64.2,-57.0,-48.8,-64.8,-74.8,-68.6,-72.2,-66.0,-55.8,-85.0,-64.2,-74.0,-63.8,-56.8,-50.4,-65.2,-75.6,-68.6,-72.8,-66.0,-55.8,-45.4,-64.2,-51.6,-65.8,-78.0,-60.2,20.58,11.8,98.0,10.0
194,-74.4,-78.0,-61.0,-62.2,-41.6,-44.8,-60.2,-63.8,-57.8,-72.8,-66.2,-63.2,-77.2,-61.4,-72.0,-62.2,-41.6,-44.6,-59.6,-63.6,-57.6,-74.2,-66.0,-63.4,-55.6,-63.2,-42.0,-70.0,-69.0,-67.2,20.58,19.0,110.0,10.0
195,-73.2,-74.4,-61.0,-57.6,-43.8,-42.2,-61.6,-62.4,-58.2,-72.0,-68.6,-54.8,-75.4,-61.0,-70.0,-57.8,-43.4,-42.0,-61.8,-62.2,-58.4,-77.2,-68.2,-54.8,-58.6,-61.0,-38.8,-71.25,-79.4,-69.6,20.58,19.6,111.0,10.0
196,-79.4,-76.0,-59.8,-60.8,-43.0,-44.4,-67.0,-68.4,-61.4,-73.4,-61.2,-58.6,-74.0,-59.8,-70.0,-60.8,-42.8,-42.2,-66.8,-66.0,-61.8,-75.0,-61.2,-58.8,-62.2,-63.2,-34.2,-72.0,-75.6,-70.0,20.58,20.2,112.0,10.0
197,-80.6,-76.0,-60.8,-59.2,-48.0,-44.0,-66.2,-72.8,-62.8,-77.6,-67.6,-62.0,-74.0,-60.8,-70.0,-59.2,-48.0,-43.4,-66.2,-72.4,-63.2,-76.2,-67.8,-61.6,-61.2,-65.2,-32.8,-69.0,-76.25,-65.0,20.58,20.8,113.0,10.0
198,-77.0,-82.0,-62.8,-59.4,-55.4,-50.2,-66.4,-73.2,-65.8,-80.0,-74.2,-62.2,-81.0,-63.6,-76.0,-59.6,-55.6,-51.2,-66.4,-72.0,-64.2,-79.4,-74.4,-62.6,-61.0,-52.0,-34.4,-68.5,-77.4,-66.0,21.18,21.4,115.0,10.0
199,-69.33333333333333,-69.0,-64.0,-68.0,-55.4,-45.2,-68.4,-80.6,-62.8,-74.2,-61.4,-57.4,-69.0,-63.8,-78.6,-68.6,-55.8,-45.6,-68.0,-74.6,-63.2,-73.8,-61.6,-57.0,-47.2,-66.0,-56.6,-67.2,-80.25,-62.4,21.18,12.4,130.0,10.0
200,-79.0,-81.2,-66.2,-70.8,-61.6,-52.6,-65.2,-81.2,-67.2,-74.6,-70.0,-59.0,-81.2,-72.0,-77.4,-69.4,-61.6,-51.6,-65.6,-80.6,-68.0,-75.6,-70.2,-58.6,-46.4,-66.8,-52.8,-68.8,-75.8,-66.4,21.18,11.2,132.0,10.0
201,-67.2,-75.0,-61.0,-69.4,-59.8,-49.4,-69.2,-81.0,-64.2,-72.8,-66.0,-62.8,-71.4,-61.0,-83.0,-69.6,-59.6,-49.6,-68.6,-74.4,-64.6,-73.4,-66.2,-63.4,-49.2,-64.6,-54.6,-68.0,-78.0,-65.6,21.18,13.0,129.0,10.0
202,-70.0,-73.0,-63.8,-67.6,-56.6,-46.6,-67.2,-80.0,-58.0,-77.0,-62.4,-63.2,-73.0,-62.2,-83.0,-67.8,-56.6,-45.0,-67.6,-78.4,-59.6,-76.8,-63.0,-63.2,-48.8,-70.0,-53.8,-69.8,-78.0,-65.6,21.18,13.6,128.0,10.0
203,-65.0,-70.0,-60.8,-63.4,-56.2,-46.4,-64.6,-75.0,-57.0,-77.8,-50.4,-56.2,-69.2,-61.0,-78.2,-63.8,-56.2,-46.4,-64.2,-75.2,-56.8,-77.2,-50.4,-56.0,-50.2,-67.0,-53.2,-68.25,-77.75,-61.8,21.18,14.2,127.0,10.0
204,-65.0,-68.0,-65.8,-66.6,-55.8,-45.0,-66.6,-74.8,-54.8,-77.8,-47.0,-62.2,-68.4,-65.2,-75.0,-67.2,-55.8,-43.6,-66.8,-75.2,-54.8,-79.0,-47.6,-63.2,-47.6,-71.6,-50.2,-65.0,-73.0,-68.4,21.18,14.8,126.0,10.0
205,-73.6,-76.0,-62.8,-68.2,-55.6,-44.2,-65.8,-73.2,-53.4,-78.2,-50.8,-66.2,-74.8,-63.2,-76.8,-68.4,-55.6,-44.0,-65.6,-70.0,-53.2,-78.0,-50.8,-66.2,-51.0,-68.6,-52.0,-64.6,-79.0,-64.8,21.18,15.4,125.0,10.0
206,-79.2,-81.0,-61.6,-66.0,-49.8,-44.4,-66.0,-67.2,-54.6,-74.4,-60.4,-59.8,-79.4,-62.0,-77.8,-65.8,-49.8,-44.2,-66.0,-68.2,-54.4,-75.2,-60.4,-59.6,-52.0,-70.8,-49.0,-71.6,-77.6,-70.4,21.18,16.0,124.0,10.0
207,-74.5,-73.0,-62.0,-66.2,-48.4,-44.6,-63.2,-62.8,-55.8,-75.2,-57.8,-58.4,-73.0,-62.2,-75.6,-66.6,-48.4,-45.4,-63.2,-64.2,-55.4,-76.0,-57.6,-58.8,-54.8,-64.6,-46.4,-75.0,-72.6,-68.2,21.18,16.6,123.0,10.0
208,-67.8,-73.8,-63.0,-71.6,-46.6,-48.8,-63.6,-58.8,-59.8,-76.0,-63.4,-65.6,-74.2,-64.4,-73.0,-70.4,-46.6,-52.0,-63.8,-58.6,-59.8,-77.4,-63.6,-65.6,-60.2,-65.66666666666667,-52.6,-68.0,-74.6,-68.4,21.18,17.2,122.0,10.0
209,-76.6,-74.6,-61.8,-63.0,-48.8,-45.2,-55.6,-60.8,-59.0,-77.0,-58.4,-58.0,-74.0,-61.6,-72.2,-62.8,-48.6,-44.4,-55.2,-61.0,-60.0,-77.0,-59.0,-57.6,-53.0,-62.0,-41.2,-70.0,-69.8,-66.8,21.18,17.8,121.0,10.0
210,-75.4,-76.2,-63.4,-62.4,-46.2,-42.0,-63.4,-67.4,-59.6,-75.4,-62.2,-62.8,-75.8,-63.2,-78.6,-62.4,-46.2,-42.2,-63.4,-66.0,-60.0,-75.6,-62.4,-63.0,-53.2,-64.8,-43.2,-71.0,-69.4,-68.2,21.18,18.4,120.0,10.0
211,-78.4,-73.8,-68.6,-68.4,-60.8,-47.8,-65.0,-80.8,-66.4,-76.0,-63.4,-58.8,-73.8,-68.8,-77.4,-67.6,-60.8,-48.2,-64.6,-81.2,-66.0,-79.0,-63.4,-58.6,-51.6,-68.4,-52.4,-70.4,-78.6,-65.2,21.18,11.8,131.0,10.0
212,-69.8,-77.8,-62.0,-65.8,-51.2,-42.0,-56.0,-67.8,-62.6,-76.2,-67.0,-57.4,-75.6,-60.6,-70.0,-65.8,-51.0,-42.0,-55.8,-67.2,-62.4,-71.2,-67.4,-57.4,-60.0,-64.2,-41.8,-66.0,-76.6,-65.8,21.18,19.0,119.0,10.0
213,-86.0,-81.8,-62.4,-65.0,-50.8,-42.2,-63.2,-67.4,-61.2,-80.0,-65.6,-57.6,-81.2,-62.4,-71.8,-65.2,-50.8,-42.0,-63.4,-67.6,-61.0,-73.6,-65.0,-57.6,-60.0,-61.6,-35.0,-65.8,-79.5,-66.4,21.18,19.6,118.0,10.0
214,-82.66666666666667,-86.0,-64.6,-62.6,-51.6,-44.2,-66.6,-68.4,-63.6,-77.8,-64.4,-63.8,-86.0,-63.8,-72.4,-62.8,-51.6,-44.2,-66.4,-68.4,-61.8,-79.0,-65.0,-63.6,-55.4,-57.8,-32.8,-65.0,-75.0,-60.0,21.18,20.2,117.0,10.0
215,-81.0,-84.4,-65.0,-64.6,-54.8,-49.4,-62.8,-66.6,-62.0,-78.4,-63.2,-61.2,-84.0,-65.8,-78.2,-64.6,-54.8,-49.4,-63.0,-67.6,-61.6,-78.0,-63.8,-61.2,-57.6,-59.2,-38.0,-72.0,-74.0,-61.6,21.18,20.8,116.0,10.0
216,-80.0,-76.0,-68.6,-49.2,-50.6,-44.8,-55.8,-62.4,-67.4,-76.6,-65.6,-61.0,-78.0,-69.0,-77.2,-49.0,-50.6,-43.8,-55.8,-62.6,-68.8,-77.2,-65.2,-61.2,-65.0,-64.8,-49.0,-74.6,-65.2,-57.2,14.58,21.4,316.0,10.0
217,-72.0,-73.2,-61.0,-63.2,-53.6,-43.4,-62.2,-72.8,-69.4,-70.6,-48.0,-54.8,-72.0,-61.0,-70.6,-63.2,-53.4,-43.0,-61.6,-72.6,-70.2,-70.0,-47.8,-54.6,-57.0,-73.2,-50.25,-75.4,-90.0,-60.6,14.58,12.4,301.0,10.0
218,-76.0,-80.8,-66.8,-69.2,-54.4,-45.4,-60.0,-73.8,-64.2,-75.2,-66.0,-60.2,-81.8,-66.8,-74.4,-69.2,-54.4,-47.8,-60.0,-73.8,-63.8,-76.4,-65.4,-60.4,-65.8,-65.6,-44.4,-67.25,-72.4,-55.4,14.58,11.2,299.0,10.0
219,-74.6,-67.2,-63.0,-59.6,-53.2,-40.4,-67.2,-70.8,-64.8,-68.4,-51.8,-57.2,-68.0,-63.2,-66.4,-59.8,-53.2,-41.2,-68.0,-70.4,-65.0,-68.0,-52.0,-57.0,-55.8,-73.0,-52.8,-73.4,-90.0,-63.2,14.58,13.0,302.0,10.0
220,-74.5,-71.2,-61.8,-62.0,-54.0,-37.2,-61.6,-70.2,-64.2,-74.2,-53.8,-54.4,-71.4,-62.2,-69.4,-61.8,-54.0,-38.0,-61.8,-71.2,-64.4,-71.6,-54.0,-54.6,-56.4,-72.8,-49.6,-67.4,-74.25,-66.4,14.58,13.6,303.0,10.0
221,-73.0,-73.0,-62.0,-59.2,-54.4,-37.6,-61.0,-69.0,-64.6,-69.0,-58.2,-55.8,-72.2,-62.2,-74.2,-59.2,-54.6,-37.6,-61.2,-69.8,-64.4,-69.6,-58.6,-55.2,-59.0,-64.4,-48.6,-68.8,-71.0,-61.8,14.58,14.2,304.0,10.0
222,-71.25,-73.8,-64.2,-60.6,-53.0,-40.2,-61.2,-69.4,-63.6,-70.6,-63.8,-56.8,-73.4,-63.2,-75.6,-60.0,-52.8,-40.2,-61.2,-70.8,-63.8,-70.4,-63.8,-56.4,-62.0,-67.8,-54.6,-68.4,-71.0,-65.4,14.58,14.8,305.0,10.0
223,-69.4,-75.0,-66.6,-58.0,-55.0,-40.4,-59.8,-67.6,-61.4,-70.6,-61.4,-60.4,-72.2,-66.4,-75.2,-58.2,-54.8,-41.2,-60.0,-67.8,-62.2,-70.6,-61.6,-60.4,-61.0,-64.6,-49.6,-66.8,-74.0,-63.0,14.58,15.4,306.0,10.0
224,-74.2,-68.0,-65.0,-63.4,-53.4,-43.8,-61.8,-66.8,-64.6,-70.2,-63.4,-61.4,-67.0,-65.6,-70.4,-63.2,-53.4,-42.0,-62.8,-68.6,-64.2,-70.2,-63.6,-61.6,-58.6,-69.0,-47.6,-67.4,-77.6,-62.2,14.58,16.0,307.0,10.0
225,-76.0,-76.0,-65.6,-62.0,-56.2,-42.4,-61.8,-73.0,-63.8,-73.0,-63.2,-64.4,-67.0,-65.6,-73.8,-61.4,-56.2,-41.8,-61.4,-73.4,-64.2,-73.2,-63.2,-64.2,-62.2,-64.4,-49.0,-69.8,-77.33333333333333,-64.6,14.58,16.6,308.0,10.0
226,-73.75,-73.8,-61.8,-57.6,-56.6,-44.0,-56.2,-70.6,-63.6,-71.0,-63.4,-57.0,-77.0,-61.8,-78.0,-57.6,-57.0,-43.8,-56.2,-70.4,-64.0,-71.2,-63.8,-57.2,-61.6,-64.2,-48.8,-74.6,-75.0,-60.8,14.58,17.2,309.0,10.0
227,-71.4,-73.4,-61.2,-58.2,-53.4,-41.6,-59.0,-69.0,-64.0,-68.4,-62.0,-55.0,-74.6,-62.0,-79.6,-58.6,-53.4,-42.6,-59.0,-69.4,-65.0,-67.8,-62.8,-54.4,-62.6,-63.6,-49.6,-73.8,-75.0,-64.0,14.58,17.8,310.0,10.0
228,-71.0,-74.0,-66.6,-61.0,-55.2,-43.8,-57.6,-73.8,-63.8,-69.8,-62.2,-53.8,-73.0,-66.2,-80.2,-61.4,-55.4,-44.4,-57.6,-72.6,-63.2,-69.8,-62.4,-53.4,-62.8,-60.4,-43.6,-76.0,-72.0,-58.2,14.58,18.4,311.0,10.0
229,-78.5,-76.4,-63.4,-68.4,-51.2,-43.4,-60.8,-74.4,-65.2,-72.4,-55.8,-58.2,-80.8,-63.8,-71.6,-69.6,-51.2,-43.6,-61.2,-73.6,-65.2,-72.4,-55.8,-58.8,-56.8,-66.0,-46.8,-68.0,-73.0,-55.8,14.58,11.8,300.0,10.0
230,-73.0,-74.0,-64.2,-55.6,-53.4,-43.2,-56.4,-69.0,-67.8,-70.0,-60.2,-56.4,-73.0,-64.6,-80.8,-55.6,-53.2,-45.4,-56.6,-69.8,-67.6,-69.8,-60.0,-56.0,-61.5,-64.4,-47.8,-75.2,-68.2,-61.0,14.58,19.0,312.0,10.0
231,-71.4,-74.0,-64.6,-54.4,-49.8,-43.8,-58.0,-64.4,-65.4,-73.6,-66.8,-58.2,-73.0,-64.8,-80.0,-54.4,-49.6,-43.2,-57.8,-65.0,-65.8,-73.2,-66.8,-57.8,-63.5,-66.2,-42.8,-73.0,-70.0,-60.6,14.58,19.6,313.0,10.0
232,-71.66666666666667,-74.0,-66.6,-55.8,-50.8,-45.4,-60.6,-57.4,-65.4,-74.0,-60.8,-59.6,-74.0,-66.6,-81.0,-56.0,-50.8,-45.4,-61.0,-57.8,-65.4,-73.0,-60.4,-60.0,-61.8,-60.6,-43.0,-70.0,-66.6,-64.4,14.58,20.2,314.0,10.0
233,-73.0,-76.0,-68.2,-52.2,-55.0,-46.6,-55.0,-62.4,-65.2,-74.0,-64.8,-60.0,-78.0,-66.8,-80.6,-52.0,-55.0,-43.0,-55.0,-62.6,-65.0,-74.6,-64.8,-60.2,-61.0,-63.6,-46.2,-77.5,-63.2,-62.8,14.58,20.8,315.0,10.0
