id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
76,-72.8,-67.4,-60,-65,-54.8,-39.8,-60.8,-77.6,-57.4,-72.4,-44.6,-56,-67.2,-60.2,-75,-65,-54.8,-39.4,-61.2,-71.2,-57.8,-73.4,-44.6,-56.2,-58.8,-67.5,-55.4,-76.2,-76.8,-67.6,16.95,13.6
77,-71.8,-69,-59.6,-67.6,-50.2,-38.2,-61.2,-70.4,-55.2,-74,-48.8,-54.8,-69.2,-59.2,-75,-68,-49.8,-38.8,-61,-70.6,-55.6,-74,-48.6,-54.6,-59.4,-64.8,-53,-70.75,-75.4,-70.6,16.95,14.2
78,-74.6,-69,-57.8,-65,-50.8,-37.8,-61.6,-66.6,-59.4,-79.4,-55.8,-56,-71.6,-56.6,-67.8,-65.8,-50.6,-37.6,-61.4,-67.6,-59.8,-79.6,-56,-56,-58,-62.33333333,-57.6,-75.4,-76.8,-62.8,16.95,14.8
79,-72.66666667,-68.4,-57,-65,-54,-36.8,-61.4,-67,-57.4,-74.2,-59.8,-54.2,-69.6,-57,-69.4,-65.4,-54.2,-37,-61.4,-66.8,-57.6,-74.4,-60.2,-54.4,-53.6,-61.6,-54,-73.4,-78.5,-67.2,16.95,15.4
80,-74.4,-67,-63.6,-66.4,-50.8,-37.6,-61.4,-67,-58.2,-78.6,-57,-61.2,-72,-64,-69.8,-66.6,-50.4,-37.6,-61.2,-66.2,-57.8,-76.8,-57,-61.8,-53.8,-64.4,-44.6,-73.4,-81,-58.2,16.95,16
81,-74.2,-74.6,-63.8,-62.2,-50.2,-40.2,-59.8,-66.4,-62.6,-80,-61,-59.6,-76.4,-64.2,-68,-62,-50.4,-40.2,-59.6,-66,-61.6,-75.8,-61,-59.4,-57.8,-63.8,-47,-75.66666667,-73.2,-62,16.95,16.6
82,-70.6,-71.6,-61.6,-65,-50.4,-41.8,-57.4,-70.8,-62.6,-75.2,-57.4,-57,-72.2,-61.8,-70,-64.6,-50.4,-41,-57.6,-71.4,-63,-74.2,-57.4,-57.2,-59.2,-63.6,-43,-70,-72,-69,16.95,17.2
83,-78.4,-70.6,-61.2,-66.2,-51.2,-44,-61,-67.8,-61.2,-73.4,-60.8,-54.4,-71.8,-61.4,-73.6,-65.6,-51,-44,-61.2,-66.4,-61.6,-74.6,-60.6,-54.2,-56.6,-65.2,-43.4,-72,-74.8,-62.2,16.95,17.8
84,-70.6,-70,-62.8,-61.6,-48.6,-40,-58.2,-66.8,-60.4,-70.4,-64,-54.6,-72.4,-63.4,-74.4,-61.8,-48.4,-42.2,-58.6,-66.6,-60.2,-70.6,-64.4,-54.6,-58.6,-62.4,-41.8,-73.6,-75,-62.8,16.95,18.4
85,-74.4,-73,-62.6,-67.8,-54.6,-42.2,-62,-77,-62.2,-70.6,-61.2,-58.2,-73,-63,-71.4,-67.6,-54.6,-42.6,-62,-76.8,-62.2,-69.2,-61,-58.6,-50.8,-65.8,-51.8,-69.6,-72,-59,16.95,11.8
86,-70,-73,-63.4,-59,-49,-44,-58,-59.2,-61.6,-67.8,-65.4,-65.2,-75.8,-63.4,-75,-59.2,-48.8,-43,-58,-59,-61,-68,-65.8,-65.4,-57,-61.2,-41.8,-75,-71,-66.4,16.95,19
87,-74,-75,-63.2,-58.2,-53.8,-42.8,-56,-57.8,-61.8,-68,-63.6,-61.4,-74,-62.8,-74.6,-58.4,-53.8,-42.4,-57.4,-57.8,-62.6,-67.6,-63.6,-61.4,-55.4,-65.8,-48.6,-71,-66.6,-59.6,16.95,19.6
88,-78,-81,-63.6,-57.8,-52.2,-43.4,-59.4,-65,-61,-67.2,-63.4,-56.2,-78.6,-63.4,-75,-57.8,-52,-44.6,-59.2,-64.8,-61,-67.6,-63.4,-56.4,-59,-66.4,-42,-70.2,-65.75,-63.6,16.95,20.2
89,-73.33333333,-84,-66.4,-55.4,-51,-44,-65.2,-63.4,-62.6,-69.8,-65.8,-59.8,-81,-65.8,-77.4,-55,-51,-43.6,-65.2,-63.6,-60.6,-70,-66,-60,-63.4,-65.6,-41.4,-72.2,-68.2,-63.8,16.95,20.8
90,-77.5,-86.2,-62.6,-58.6,-50.4,-43.2,-60.6,-68,-64.2,-73.4,-63.4,-55.2,-85.6,-62.8,-76.2,-58.6,-50.4,-53,-60.6,-67.6,-63.8,-73.2,-63,-55.2,-64,-62,-38.4,-73.75,-71,-65.6,17.58,21.4
91,-68.6,-72.4,-61.6,-67,-54.8,-37.8,-64,-71.6,-58.2,-73.8,-54.8,-59,-71.6,-61.4,-75,-66.8,-55.2,-38.8,-64.2,-69.6,-58.6,-73.6,-54.8,-59.2,-56.8,-66.4,-51.2,-72.2,-72,-66.8,17.58,12.4
92,-73,-80.4,-62.2,-67.8,-57.6,-43.4,-60.4,-76,-64.6,-70.8,-65.4,-55.8,-81,-62.8,-80.2,-68.4,-57.8,-43,-60.6,-70,-64.4,-71,-64.8,-56,-53.6,-63,-45.6,-67.6,-70,-61.6,17.58,11.2
93,-69.4,-64.2,-61,-68.2,-55.6,-37.6,-64.6,-69.4,-57.4,-72,-46.8,-55.6,-65.4,-62.6,-76.8,-69.8,-55.6,-38.4,-65,-71.2,-57.6,-71.8,-46.6,-56.2,-58.8,-68,-57.6,-70,-75.5,-69.2,17.58,13
94,-70.8,-67.8,-60.4,-64.2,-50,-37,-59,-71.2,-56.2,-68.2,-44.6,-53.8,-70.2,-63.2,-70.4,-64,-49.8,-36.8,-59,-72.8,-57,-68.4,-44.6,-53.4,-59.6,-63.8,-51.6,-66,-78,-65.4,17.58,13.6
95,-69,-70.6,-61.6,-63.4,-50.2,-38,-62.8,-69.2,-53.2,-68.2,-50.2,-59.2,-71.4,-62,-69.6,-63.6,-50.2,-37.6,-63.4,-68,-53.6,-69.4,-50,-58.8,-59.6,-63.4,-49.2,-68.4,-79.5,-65,17.58,14.2
96,-70.6,-69.6,-58.4,-62.2,-51.6,-38.8,-61.2,-65.4,-57.6,-71.4,-51.2,-57.8,-69.8,-58.8,-68.4,-63.4,-51.4,-39,-61.6,-65.2,-57.4,-72.2,-51,-57.8,-60.8,-70.2,-52,-69.4,-78.5,-66,17.58,14.8
97,-77,-69.2,-57.2,-65.2,-51.6,-35.8,-60.6,-67.2,-54.6,-75.4,-57.4,-54.4,-69.2,-57.6,-69,-65.2,-51.2,-34.2,-61,-67.6,-54.8,-74.2,-57.2,-55,-62.2,-70.6,-51.6,-71.6,-79,-69,17.58,15.4
98,-74.6,-73.6,-61.2,-62.6,-50.4,-42,-62.6,-67.6,-57.4,-72.4,-56,-56,-74.4,-64.8,-71.6,-62.4,-50.4,-41,-62.6,-66.8,-57.8,-73,-56.4,-56,-60.6,-69.8,-45.4,-78.8,-76.2,-57.4,17.58,16
99,-71.8,-74.8,-62.6,-60.8,-50.2,-41,-59.6,-65.6,-62.8,-74.2,-57,-58,-75,-62.8,-72.4,-61.8,-50.2,-40,-59.6,-66.6,-62.4,-76.4,-57.4,-57.6,-56.6,-69.4,-42.6,-77,-73.33333333,-61.2,17.58,16.6
100,-73.4,-71.4,-60.8,-60.6,-50.2,-42.2,-54,-65.8,-61,-72,-55.4,-56.2,-71,-61.8,-76.4,-61,-50,-39.6,-54,-65.4,-61.6,-71.4,-55.6,-56.6,-62.6,-66.8,-40.2,-76,-72.25,-65,17.58,17.2
101,-67.6,-73,-60.6,-60.6,-50,-39,-56.8,-66.4,-58.6,-68.8,-59.8,-61.2,-71,-62.8,-77,-60.2,-50,-40,-56.6,-66.8,-58.8,-68.8,-60,-61.4,-59.2,-61.2,-42.6,-77,-72,-62.2,17.58,17.8
102,-73.8,-79.4,-62.6,-62.4,-51.8,-41.8,-56.8,-59.8,-60.6,-71.8,-63.8,-63.2,-77.8,-63.8,-76.6,-62.2,-51.8,-41.8,-56.8,-59.4,-60.6,-71.4,-63.4,-64.4,-63.6,-61.8,-38.4,-69.8,-73.6,-62.4,17.58,18.4
103,-72.6,-73.6,-62.2,-63.8,-57.2,-42.6,-61.6,-71.8,-62,-77.2,-57,-55.8,-73.4,-62,-71,-63.4,-57.2,-41.2,-61.6,-70,-61.6,-78.4,-57.2,-56,-55.2,-69.4,-49.4,-71.33333333,-70,-64.6,17.58,11.8
104,-82,-79.8,-63.8,-58,-49.4,-40.6,-59.8,-56.2,-65.4,-74.8,-66,-60.8,-78.8,-63.4,-80.2,-58.6,-49.2,-41,-59.8,-56.4,-64.2,-75.6,-66,-61.2,-58,-67,-44,-74.5,-66,-60,17.58,19
105,-82,-78,-65.8,-59,-51,-42.4,-61.2,-62.2,-64,-74.2,-64,-58.8,-77,-66,-79,-58.8,-51,-42,-61.2,-62,-63.4,-73.4,-64.6,-58.6,-59,-66,-39.4,-76,-63.8,-67.2,17.58,19.6
106,-77,-85.4,-66.6,-61.6,-50.6,-43.8,-58.2,-66,-61.6,-78.8,-64.4,-55.6,-84.4,-66.6,-77.4,-61.4,-50.6,-43.8,-58,-66,-61.4,-78.4,-64.6,-55.4,-59,-63,-40.8,-69.4,-70.2,-62,17.58,20.2
107,-77,-85,-65.6,-60.8,-51.2,-42.4,-58,-67.6,-65,-74.4,-64.6,-55.8,-84,-63.4,-76.2,-60.8,-51.2,-41.8,-58,-67,-64.8,-74.8,-64.8,-55.8,-57.6,-62.2,-45,-70.4,-77,-65.8,17.58,20.8
108,-75.5,-88,-64.2,-57,-53.2,-42.2,-54.8,-70.2,-66.4,-75,-62.8,-63.2,-86,-63.8,-75.8,-57,-53,-43.4,-55,-70.2,-66,-71.8,-62.8,-63.2,-63,-62.8,-40,-76.25,-73.4,-63.6,18.18,21.4
109,-68.8,-76,-62,-62.8,-55.6,-40.4,-64.8,-71.6,-61.6,-76.2,-60.8,-52,-73.6,-62.4,-79.4,-63.2,-55.6,-40.6,-64.4,-73.4,-61.8,-77,-61,-52.4,-51.6,-62.4,-55.6,-65,-72,-65,18.18,12.4
110,-76.25,-76,-61.8,-69.6,-56,-43.2,-61.4,-72.8,-62.8,-71.4,-71.4,-57.6,-73.8,-63,-79.6,-69.6,-55.6,-43.6,-61.2,-70.2,-61.8,-72.4,-71.4,-57.8,-50.8,-63.2,-41.8,-67.4,-76.8,-65,18.18,11.2
111,-70.8,-69.8,-63,-62,-54.4,-36.8,-64,-73.8,-58.6,-77.4,-52.6,-55.6,-70,-62.6,-81.4,-61.6,-54.2,-37.8,-64.2,-74.2,-58.6,-77.4,-52.8,-55.6,-58.2,-64.6,-54,-69.6,-72,-69.6,18.18,13
112,-71.66666667,-70.2,-57,-62,-51.6,-37.6,-62.8,-72.6,-56.6,-73.8,-45.8,-55.6,-69,-57,-73.8,-62.4,-51.4,-37.6,-62.8,-79,-56.6,-74.4,-45.8,-56,-57,-61.2,-55,-68,-90,-64.2,18.18,13.6
113,-67.6,-67.6,-57.4,-62.4,-51.4,-37.8,-63.8,-73.4,-59.6,-72.8,-47.8,-54.8,-66.8,-57,-72,-61.8,-51.2,-37.6,-63.6,-74.6,-58,-72.6,-48,-54.8,-55,-63.8,-52.8,-68,-83,-63.8,18.18,14.2
114,-67,-75,-57.6,-62.8,-51.8,-40,-64.2,-66.4,-56.8,-71.8,-49.8,-48.8,-74,-57,-70,-62.8,-51.8,-40,-63.4,-65,-57.2,-71.4,-49.8,-48.8,-59,-64.8,-49.2,-69,-80.2,-67.4,18.18,14.8
115,-68,-72.8,-56.4,-61,-50.2,-37.4,-64.4,-64.2,-58.2,-71.2,-53.6,-51,-71.8,-56.6,-75,-60.8,-50.2,-39.2,-65.2,-66.6,-58.2,-71.2,-53.4,-51.2,-59.4,-65.6,-48,-69.33333333,-76.2,-64.6,18.18,15.4
116,-70.2,-77,-59.2,-61.4,-48,-37.6,-66,-67.6,-56.6,-71,-57,-55.8,-75.4,-58.8,-73.2,-60.4,-47.8,-38,-67.8,-66.4,-56.6,-71.4,-57,-55.8,-59.2,-59.6,-45.8,-69.33333333,-74.6,-62,18.18,16
117,-71.4,-77.4,-60.2,-64.8,-45.2,-38,-69.8,-69.4,-56.6,-73,-61.8,-55.4,-73,-60.6,-70,-64.2,-45.2,-38,-70,-66.6,-56.6,-73.2,-62.2,-55.4,-61.6,-60.2,-42.6,-74.8,-75.6,-57.2,18.18,16.6
118,-70.4,-74.8,-58.2,-60.6,-45.8,-40.2,-58.8,-66.4,-59.8,-69.8,-58.6,-52.8,-73.8,-58.8,-70,-60.8,-46.2,-41.8,-60,-66.6,-59.6,-69,-58.8,-53.2,-60,-61.4,-43.4,-75.33333333,-76.66666667,-61.6,18.18,17.2
119,-75,-75.4,-59.6,-61.8,-46.2,-41.6,-59.4,-67,-57.2,-67.8,-60.2,-56.2,-76.6,-59.8,-73,-61.6,-46.2,-41.4,-57.4,-68.4,-57.2,-67.4,-60.6,-56,-60.2,-65.2,-39.4,-66,-75,-63.2,18.18,17.8
120,-76.6,-75,-59.2,-60.4,-49.8,-43.6,-61.8,-59,-58.8,-69,-62,-52.6,-75.8,-59,-76.8,-60.6,-49.6,-43.4,-61.6,-59.6,-59,-69.4,-62,-52.6,-61,-61.6,-42.6,-72,-72.8,-63.4,18.18,18.4
121,-77,-73.8,-62.2,-64.4,-55.6,-41,-60.4,-71,-62.2,-72,-62.6,-52.8,-74,-62.4,-78.2,-65,-55.6,-42,-60.8,-72.6,-62.4,-71.8,-62.4,-53.2,-46.6,-61.4,-54.8,-70,-73.25,-62.6,18.18,11.8
122,-72.6,-76.8,-59.8,-61.8,-51,-45.8,-56.8,-56.8,-62.4,-69.2,-68,-57.4,-77.2,-59.8,-75.4,-62.6,-51,-46,-56.6,-57.2,-61.8,-69,-69.8,-57,-58.6,-65.2,-41,-90,-68.8,-59.6,18.18,19
123,-73.6,-75.4,-60.8,-63.6,-51.8,-43.2,-62,-68.4,-61.4,-71,-63.2,-58.6,-74.6,-61,-75.8,-63.6,-51.8,-42.2,-62,-64.4,-61.2,-70.4,-62.8,-58.8,-60.8,-63.4,-39,-76.2,-66.5,-58.6,18.18,19.6
124,-74,-73,-64,-60.2,-48.6,-41,-59.4,-66.4,-64.2,-76.2,-68.8,-59,-73,-64.6,-73.8,-61.2,-48.6,-41.2,-59.6,-67.2,-65.8,-74.2,-69,-59,-60,-60,-33.6,-73.2,-65.6,-57.6,18.18,20.2
125,-76,-74.2,-65.6,-57.4,-50.6,-42.6,-57.8,-67.6,-69.2,-76.4,-61.6,-61.2,-76.6,-65,-72.2,-57.6,-50.6,-41,-57.6,-67.8,-68.6,-75.4,-61.6,-61.2,-56,-62,-35,-73.8,-68.4,-63.8,18.18,20.8
126,-78.4,-75,-63.2,-59.8,-49.4,-42.2,-63,-66.8,-61.8,-80.8,-73.8,-65.4,-75,-63.2,-76.8,-59.8,-49.4,-46,-62.6,-67.2,-60.8,-82.6,-73.8,-65.4,-64,-61.2,-36.4,-72,-75,-71.6,18.78,21.4
127,-67.4,-66,-59.2,-64.2,-52.8,-41.8,-62.2,-76,-61,-79,-63.4,-55,-65,-59.4,-71.2,-64.2,-52.8,-42,-61.8,-76.2,-61.2,-79,-63.8,-55,-55,-67.2,-43.6,-90,-76,-61.8,18.78,12.4
128,-78,-75.8,-62.4,-64.8,-55,-42.8,-65,-72,-63,-76.4,-68.4,-58.6,-75.8,-65.2,-72,-65,-54.8,-43.4,-64.8,-72.2,-63.8,-76,-68.6,-59,-60.8,-67,-45.4,-78.5,-81,-56,18.78,11.2
129,-69.6,-65.6,-62.2,-63.4,-55.4,-36.8,-63.2,-73.6,-60.8,-77,-57.2,-54.2,-65.8,-62.6,-80,-62.6,-55.4,-36.8,-63.4,-74.4,-61,-73.4,-57.4,-54.6,-56.4,-67.4,-49.2,-90,-70,-65.6,18.78,13
130,-71.6,-70.4,-64.4,-61,-52.2,-38.6,-63.4,-70.8,-58.2,-72.8,-44.6,-53.2,-70.2,-64.2,-81,-61,-51.8,-38.8,-62.8,-70,-57.8,-72.8,-44.6,-53.4,-58.2,-64,-48,-73,-76.8,-66.2,18.78,13.6
131,-69.8,-71,-64.4,-61,-52.4,-35.8,-63.2,-68.8,-61,-72.8,-46.2,-54.4,-70.8,-60.8,-81,-61,-52.2,-36.6,-63.2,-65.6,-61.4,-73.6,-46,-54.2,-58.2,-60.6,-47.2,-67.75,-77,-67.6,18.78,14.2
132,-70.4,-68.4,-61.6,-62.6,-50.8,-35.4,-61.8,-64.4,-56.8,-73,-49.8,-57,-68.6,-60.4,-77.8,-62.4,-50.8,-38,-60.8,-62,-56.6,-73,-49.6,-57.2,-57.6,-59.4,-48.4,-70.2,-77,-61.4,18.78,14.8
133,-77.6,-68.6,-58.8,-61.8,-47.8,-36.6,-62.6,-61.2,-55.6,-71.6,-54.4,-54.4,-68.4,-58.8,-70.4,-62.2,-47.6,-37.2,-62.4,-60.6,-55.6,-71,-54.8,-54.2,-56.6,-64.8,-44.4,-76.8,-77,-66,18.78,15.4
134,-72,-75,-61.4,-61.4,-44.2,-36.2,-65,-64.4,-55.8,-70.8,-63.4,-50,-75,-61.4,-68,-61.4,-44,-36,-65.4,-65,-56,-68.8,-63.2,-50.4,-63.6,-66,-45.2,-66.8,-73.25,-68.4,18.78,16
135,-70.2,-75,-61.2,-62.2,-44.2,-40.6,-60.4,-66,-59.4,-71.2,-63.8,-55,-75,-61.4,-69.8,-63.2,-44.2,-40.6,-60.6,-66.6,-60.2,-70,-64,-55,-57.6,-63,-43.8,-65.2,-75,-65.6,18.78,16.6
136,-71.2,-72.4,-60.8,-61,-44.6,-40.4,-55,-66.6,-61,-74.8,-63.4,-55.8,-74.2,-60.8,-77.6,-61,-44.4,-40.6,-55.2,-66.4,-61,-74,-63,-55.8,-59.8,-63.8,-45,-69.4,-74,-66.4,18.78,17.2
137,-73,-74,-61.6,-63.2,-47.2,-41.4,-63,-61.2,-57,-72.2,-65.4,-55.2,-73.2,-62.6,-76.4,-63.2,-47,-41.2,-63.2,-61.2,-57.2,-71.6,-65.8,-55.2,-59.8,-62,-42,-76.5,-71.75,-65,18.78,17.8
138,-71.6,-72,-63.6,-64.6,-49,-40.4,-60,-63.6,-61.4,-76.4,-66.8,-55.2,-73,-65.2,-72,-64.2,-49,-40,-59.6,-62.8,-61.2,-75.2,-67.6,-55.2,-63.4,-63.4,-32.2,-74,-72.4,-65.6,18.78,18.4
139,-73.2,-68.4,-56,-66.6,-56.4,-43,-64,-73.6,-62.6,-75,-61.2,-54.4,-67.4,-56.4,-72.6,-67,-56.4,-42.8,-64,-72.8,-62.4,-75.6,-61.4,-54.2,-54.8,-66,-54.4,-73.4,-90,-62.4,18.78,11.8
140,-76,-72.2,-62.2,-59.6,-51.2,-43.8,-57.8,-60.4,-58.8,-71.8,-68,-55.4,-73.4,-62.2,-72.8,-60,-51.2,-44,-57.8,-60.6,-60.4,-72,-68.2,-55.6,-63.8,-62.8,-33.2,-70.2,-66.4,-61,18.78,19
141,-90,-73.4,-60.2,-63.2,-49.2,-42.6,-60.4,-66.8,-54.6,-72.8,-68.4,-57,-76,-61.4,-76,-63.2,-49,-42.2,-60,-67,-54.8,-72.4,-66.8,-57.2,-63.6,-61,-33.6,-72,-70.2,-67.2,18.78,19.6
142,-78,-84.8,-62.8,-59,-52,-39.2,-54,-68.8,-60.4,-78,-68,-57.8,-86,-62.4,-76,-59.2,-52,-39.2,-54.4,-68.4,-60.4,-78.2,-67.6,-58.2,-58.6,-61,-33.4,-73.2,-67.6,-63,18.78,20.2
143,-78.33333333,-85.4,-64.8,-58.2,-49.2,-44.6,-66.8,-68,-64,-77.2,-68,-61.6,-83.8,-65.4,-76,-58.6,-49.2,-43.6,-66.8,-68.8,-64.8,-77.6,-68,-61.2,-63,-57.6,-38.8,-72,-71.6,-63.6,18.78,20.8
144,-78,-74.6,-62.8,-55.4,-48.4,-43.2,-57,-72,-64.2,-75.6,-64.8,-63.4,-79.4,-61.6,-73,-56,-48.4,-43,-57.2,-68.6,-65.4,-79.6,-64.8,-63.2,-65.75,-63,-40.4,-73.2,-73.4,-60.8,19.38,21.4
145,-69.4,-78.4,-64.8,-62,-55.2,-42.8,-65.8,-73.2,-66.6,-72,-61.2,-55.2,-76,-65.2,-77.2,-62,-55.2,-42.8,-66.4,-73,-66.8,-74.6,-60.8,-55.2,-57.6,-62.4,-55,-72,-77,-65.4,19.38,12.4
146,-77,-78.8,-62.2,-67,-52.2,-46.8,-68.2,-76.4,-64.2,-80.2,-67,-58.6,-75.2,-63.6,-73.6,-67,-52.2,-46.8,-68,-75.8,-63.2,-76.4,-67,-58,-47.6,-66.8,-48.6,-81,-70.5,-54,19.38,11.2
147,-72.8,-75.4,-64.2,-62,-53.6,-44.8,-63.4,-73.8,-58.6,-75,-62,-53.8,-74.8,-64,-73.6,-61.8,-53.6,-45.2,-63.6,-75.2,-59.2,-75.2,-61.8,-54,-49.6,-63.8,-50,-72,-74,-64.2,19.38,13
148,-71,-70.4,-63.2,-66.4,-53.4,-39.2,-66.4,-70.4,-59.8,-71.4,-51.2,-52.4,-70.4,-62.8,-72.2,-66.2,-53.4,-39.6,-66.2,-70.8,-59.6,-71.2,-50.8,-52.8,-54.8,-64,-51,-68.4,-75,-65.8,19.38,13.6
149,-68.6,-73,-62.2,-67,-52,-40.2,-66.2,-72.4,-58,-69.8,-45.8,-55.6,-72,-61.8,-75,-66.6,-51.8,-39.8,-66,-72.4,-57.4,-69,-46,-55.6,-55,-67,-51.2,-75,-72,-66.4,19.38,14.2
150,-73.8,-71.8,-62.4,-65.8,-51.8,-40.6,-64.8,-72.6,-54.6,-72.6,-50.2,-53,-71,-64.4,-73.6,-65.6,-51.8,-40.4,-64.8,-71,-54.6,-70.4,-50,-53,-58.2,-63,-48.2,-78,-72.66666667,-65.8,19.38,14.8
151,-71.6,-70,-61,-65,-48.4,-35.2,-62.2,-70.6,-58.8,-70.2,-53.8,-55.8,-70.4,-60.4,-72,-65.2,-48.4,-35.4,-62,-68,-59.2,-70.2,-53.8,-56,-57,-62.8,-49.2,-72,-78.8,-69,19.38,15.4
152,-75.4,-69,-61.2,-63.2,-46.4,-36.8,-62.8,-65,-58,-69.2,-54.8,-56,-68,-61.4,-72,-63.2,-46,-35.8,-63,-66.4,-58.2,-69.6,-54.8,-56,-54.6,-67.5,-49,-72,-77,-69.8,19.38,16
153,-76.2,-71.6,-61.8,-63.6,-46,-39.6,-69.6,-67.8,-59.2,-70,-57.8,-52.8,-70.8,-62.4,-72,-63.8,-45.8,-39,-69,-67.6,-59.8,-69.8,-58,-52.6,-56.6,-65.6,-45.6,-72.5,-73,-65.6,19.38,16.6
154,-68.8,-82,-62.2,-58.4,-46.6,-40.2,-57.4,-62.4,-59,-74.4,-61.2,-58.4,-82,-62.4,-69,-58,-46.6,-39.6,-57,-62,-59.4,-73.4,-61.4,-58.6,-56.4,-63.6,-41.8,-69.6,-77,-64.4,19.38,17.2
