id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
155,-70.33333333,-78,-61.4,-58.8,-48,-41.6,-57.6,-60.8,-56,-71.6,-63.4,-55.2,-78.8,-60.6,-71,-59,-47.6,-40.4,-57.6,-61.2,-56.2,-70.4,-63.8,-55.4,-61.2,-62.8,-41.4,-74.33333333,-78,-63.8,19.38,17.8
156,-73,-74.2,-61,-59.6,-48,-42.2,-63.2,-63,-59,-70.4,-64.4,-51.6,-76.2,-60.4,-72.6,-59.8,-47.8,-41.2,-63,-66.8,-61.2,-71,-64.2,-52.2,-60,-65.2,-38.2,-74.5,-75.8,-66,19.38,18.4
157,-72.2,-76,-60.2,-67,-56,-46.2,-66,-74.6,-63.2,-74.2,-66.6,-54.8,-76,-59.4,-80,-67.2,-56,-46.4,-66,-74,-62.6,-75.4,-66.8,-55.2,-48,-62.8,-47.4,-75.6,-77.4,-59.6,19.38,11.8
158,-73.2,-73.6,-62,-64,-46.8,-41.8,-63.8,-64.8,-63.6,-71.6,-66.4,-54.4,-75.2,-61.6,-74.8,-63,-46.6,-42.2,-63.8,-65.2,-63.6,-72,-66.6,-54.4,-60.6,-66,-42.4,-72,-70,-65.8,19.38,19
159,-76,-74.2,-60.8,-66.2,-46.6,-42.6,-60.8,-65,-62.2,-69.6,-65.2,-58.6,-74.2,-61.4,-75,-66.8,-46.6,-42.8,-60.8,-65.2,-62.6,-69.4,-65,-59.4,-56.8,-64.2,-33,-90,-66,-62.6,19.38,19.6
160,-74,-73,-63.8,-61.2,-42.8,-39.2,-60,-63.6,-60,-76.8,-67,-57.2,-73,-60.4,-73.8,-61.2,-42.4,-39.4,-60.2,-63.6,-59.8,-75,-67.2,-57,-60.2,-61.4,-23.6,-73,-66.75,-65.6,19.38,20.2
161,-74.8,-73,-64.2,-57.8,-47.2,-42.8,-58.6,-69.4,-65.2,-78,-70.8,-63,-73,-63.6,-73,-57.6,-46.8,-40.6,-58.4,-69.4,-64.2,-75,-71.6,-63.2,-62.2,-63,-35.8,-75.5,-66,-66,19.38,20.8
162,-80.8,-86,-65.2,-58.8,-49.2,-43.8,-64.8,-70.2,-65.4,-75.6,-70.6,-60,-88,-64.8,-80.4,-58.8,-49.2,-44,-64.4,-69.6,-65.6,-77.6,-71,-60.6,-67,-57,-35.6,-72.5,-77,-65,19.98,21.4
163,-71.8,-74.6,-62,-67,-55.2,-44.4,-65.8,-75.6,-65.6,-66.8,-59.6,-53,-74.6,-62.4,-76,-68.2,-55.2,-44.6,-66.2,-74.4,-66,-66.8,-60.2,-53.2,-59.2,-67,-46.2,-67.2,-74.8,-63.6,19.98,12.4
164,-90,-79,-63,-72.8,-56.8,-50.2,-63.2,-73.6,-65.8,-68,-66.8,-52.4,-81.4,-65.4,-82,-72.6,-56.4,-50,-63.2,-74.2,-66,-67.8,-67,-52,-41.6,-74,-49,-65.8,-76.5,-63,19.98,11.2
165,-72,-72,-61.4,-62.4,-53.2,-43.4,-68,-73.4,-60.2,-70.4,-58.8,-57.8,-67,-62,-76,-62.4,-53,-42.4,-67.8,-73.4,-60.2,-70.6,-58.8,-57.6,-54.4,-69.4,-46.2,-65,-76.4,-66,19.98,13
166,-69.4,-68,-59.4,-68.4,-53.6,-40.8,-64.4,-72.4,-57.8,-70.2,-52,-54,-68.8,-60,-78.8,-68.4,-53.6,-41.8,-64.4,-72,-57.8,-70.2,-52,-53.8,-48.8,-66.2,-52.2,-67.4,-76,-66.6,19.98,13.6
167,-69.4,-72.8,-62,-67.2,-54.6,-42.2,-63.6,-71.4,-57.4,-68.8,-47,-54.6,-71.6,-61.6,-75,-66.8,-54.8,-42,-63.6,-72.4,-57.2,-68.8,-47.4,-54.2,-53,-64.6,-54.4,-67,-78,-67.75,19.98,14.2
168,-73.2,-71.2,-59.2,-66.6,-53,-43.4,-62.8,-72.8,-56,-67.8,-50.8,-54.8,-70.6,-57.6,-75.6,-66.4,-52.8,-42.2,-63.2,-74.2,-56.6,-68.2,-50.8,-54,-56.2,-63.4,-47.8,-68.2,-72,-66.2,19.98,14.8
169,-72,-79,-57.6,-68.8,-44,-39.6,-59.6,-67.4,-51.6,-69.2,-58.6,-55.2,-73.2,-57.8,-77,-68.4,-43.8,-39.2,-59.8,-68.4,-51.2,-68.4,-58.2,-55,-62.4,-68,-48,-70,-80.6,-67.8,19.98,15.4
170,-71.33333333,-79,-63.2,-65.6,-46,-36.6,-63.4,-66.8,-55,-75.4,-57.6,-61,-70,-63.4,-77,-65.6,-46,-37.8,-63.4,-67.4,-55.2,-73.8,-57.6,-60.4,-54,-66,-46,-72,-80,-66.6,19.98,16
171,-71.2,-70,-62.6,-66.8,-43.8,-44,-61.8,-67.8,-58.2,-77.4,-59,-60.8,-70,-62.6,-75.6,-67,-43.4,-43.4,-62,-67.8,-58.2,-77,-59.4,-60.8,-57.2,-62.6,-39.4,-71.8,-78.8,-69.2,19.98,16.6
172,-69.8,-73,-61.2,-60.4,-43.8,-41.8,-59.6,-62.4,-57.8,-71.2,-65.8,-59.8,-74.8,-61.8,-73.8,-60.6,-44,-41.6,-59.4,-60.2,-57.4,-73.4,-66.2,-59.8,-57.8,-62.8,-47,-71,-67.6,-66.6,19.98,17.2
173,-73.2,-78.4,-61,-63.6,-43.6,-42.2,-61.8,-60.2,-57.6,-71.6,-65.6,-56.2,-78,-61.4,-76.2,-63.4,-43.8,-42.2,-61.4,-60,-57.4,-71.4,-65.2,-56,-56.8,-65.8,-41.2,-72,-69.2,-66.6,19.98,17.8
174,-70.8,-77.4,-61.2,-64.2,-43.4,-40.8,-62.2,-61.6,-62.4,-74.4,-62.6,-54.8,-77.8,-61.6,-76.2,-64,-43.2,-40.4,-62.6,-63,-61.6,-70.6,-63,-55,-56.4,-65.2,-32,-78,-74,-63.4,19.98,18.4
175,-70,-73,-60.2,-65.6,-54.6,-46.4,-61.6,-77.4,-64.8,-70.2,-67.6,-50,-73,-59.6,-80.8,-65.8,-54.8,-46.6,-62,-77.6,-64.2,-69.6,-67.4,-49.6,-48.8,-72,-48.6,-67.6,-75.2,-64.8,19.98,11.8
176,-77.4,-76.2,-62.4,-63,-46.8,-41,-59,-65.6,-60.6,-77.2,-64,-54.6,-76,-63.2,-75,-62.8,-46.8,-40.8,-58.8,-69.2,-60.6,-80,-64,-54.6,-60.8,-63.6,-38.8,-75,-71,-69.8,19.98,19
177,-74.33333333,-72.4,-59.2,-61.8,-42.6,-40.4,-55.8,-62.8,-58.4,-75.4,-62.2,-54.2,-74.2,-58.2,-75,-61.8,-42.2,-40,-55.8,-63,-59.6,-76,-62.4,-54,-64.6,-60.4,-31.2,-75,-73.4,-64.2,19.98,19.6
178,-73.4,-86,-61.6,-59.8,-45.2,-44.4,-67.4,-74,-64.2,-74.8,-66.4,-56.2,-88,-62.4,-77.2,-60,-45,-44.2,-67.2,-71.4,-63.8,-75.2,-66,-57,-65,-65.4,-27.2,-75,-75.2,-69.4,19.98,20.2
179,-81.66666667,-86,-62.8,-59.6,-46.2,-45.4,-66.8,-70.8,-64.8,-75.2,-69.4,-58.6,-88,-63,-78,-59.4,-46,-45.8,-66.6,-71.4,-64.6,-73.6,-69.8,-58.8,-68.2,-65.6,-29.2,-73.66666667,-77.2,-64,19.98,20.8
180,-79.4,-78.8,-62,-53.4,-49.4,-43.6,-57.6,-69.4,-63,-82.2,-69.2,-62.4,-78.8,-64.2,-74.8,-54,-49.4,-43.6,-57.6,-72.8,-63.8,-82.6,-69.2,-62.2,-60.6,-54.8,-34.6,-71,-74.2,-63.6,20.58,21.4
181,-82,-80,-62.4,-66.8,-59.2,-48.2,-64.4,-71.8,-63.2,-72,-67.2,-54.6,-83.8,-63,-78,-66.2,-59,-49.4,-64.4,-73.2,-64,-72.2,-67.4,-54.6,-50,-65.4,-51.2,-69.4,-90,-67.2,20.58,12.4
182,-90,-79,-64.4,-66.8,-61.2,-53.4,-67.6,-73,-68.2,-73,-64.8,-55.2,-85,-64,-77.2,-66.4,-61,-53.2,-67.8,-73.4,-67.4,-73,-64.6,-55.4,-45,-70.4,-49.4,-63.4,-76.2,-57.2,20.58,11.2
183,-69.25,-75.6,-62.2,-70.2,-59.2,-45.2,-65.2,-69.6,-62.2,-67.8,-64.6,-54,-70.4,-62.2,-75,-71,-59,-46.2,-65.6,-69.6,-63.4,-68.2,-65.2,-53.8,-52.8,-65.8,-52.2,-71,-90,-67.2,20.58,13
184,-66.75,-69.8,-60.4,-62.6,-56.8,-46,-65.6,-68,-58.8,-70.8,-62,-53.6,-70.2,-65.8,-76.6,-62,-56.4,-44.4,-67.4,-68,-59.4,-71,-62.2,-53.2,-52.6,-64.2,-56,-69.6,-64.6,-62.2,20.58,13.6
185,-68.8,-68.6,-62.2,-66.4,-52.4,-42.8,-64.6,-71.6,-56.8,-72,-50,-58.6,-68.8,-62.8,-77,-67.2,-52.4,-43.2,-64.6,-71.6,-57.4,-70,-50,-58.2,-47.8,-64.4,-53,-69.6,-73,-64.2,20.58,14.2
186,-68.2,-68,-62,-65.2,-51.2,-45.8,-63.6,-70,-53.4,-75.6,-48,-58.8,-69.2,-62,-75,-64.6,-51.2,-44.2,-64.2,-69.2,-53.4,-71.2,-48,-58.6,-56.8,-63.8,-56.2,-68.8,-75.2,-65.2,20.58,14.8
187,-68.8,-70.4,-61,-68.2,-51.8,-38.8,-62.6,-72.6,-52,-79.4,-53,-56.2,-70,-60.8,-75,-67.4,-52,-39.4,-62.8,-72.2,-52.2,-76.4,-53,-56.4,-53.2,-64.4,-48,-68.66666667,-76.6,-65.2,20.58,15.4
188,-73.2,-70,-61.2,-64,-44.4,-37.6,-61,-73.4,-52.8,-78.2,-61.8,-56,-70,-61,-75,-65.2,-44.2,-36.2,-61.2,-72.6,-52.6,-78,-62,-56,-63.2,-64.2,-49.6,-68.2,-74.4,-65.2,20.58,16
189,-78.8,-80.6,-63.4,-59.8,-39.8,-42,-61.8,-62.6,-54.6,-74.8,-57.8,-60,-80.2,-60.4,-77,-60,-40,-43.4,-61.8,-62.8,-55.4,-74.8,-57.4,-60.2,-58.2,-64,-46.8,-68,-76.4,-66.2,20.58,16.6
190,-74.2,-73.6,-64.6,-62.8,-39.4,-42.6,-59.4,-61,-53.6,-75.2,-57,-58.8,-73.4,-64.4,-78.6,-63,-39,-42.6,-59.4,-60.8,-53.8,-75.4,-56.6,-59,-60.6,-65.5,-46.6,-77,-74.4,-67.2,20.58,17.2
191,-70.4,-75.2,-64,-60.8,-39.8,-42.6,-60,-58.8,-55.4,-75.2,-63.8,-56.4,-75.2,-62.6,-73,-60.8,-39.8,-43.8,-60,-58.6,-56.8,-75.4,-63.6,-56.6,-55.2,-65.6,-44.8,-69.2,-73,-66.2,20.58,17.8
192,-72.2,-78,-62.4,-63.8,-40.2,-44.4,-64.6,-60.6,-56.2,-73,-68.2,-59.6,-78.2,-61.4,-72.6,-63.8,-40.4,-44.2,-64.8,-60.6,-56.6,-75.6,-68,-59.8,-62.4,-66.4,-42,-68,-69.4,-65.2,20.58,18.4
193,-82,-79.2,-63.6,-64.2,-57,-48.8,-64.8,-74.8,-68.6,-72.2,-66,-55.8,-85,-64.2,-74,-63.8,-56.8,-50.4,-65.2,-75.6,-68.6,-72.8,-66,-55.8,-45.4,-64.2,-51.6,-65.8,-78,-60.2,20.58,11.8
194,-74.4,-78,-61,-62.2,-41.6,-44.8,-60.2,-63.8,-57.8,-72.8,-66.2,-63.2,-77.2,-61.4,-72,-62.2,-41.6,-44.6,-59.6,-63.6,-57.6,-74.2,-66,-63.4,-55.6,-63.2,-42,-70,-69,-67.2,20.58,19
195,-73.2,-74.4,-61,-57.6,-43.8,-42.2,-61.6,-62.4,-58.2,-72,-68.6,-54.8,-75.4,-61,-70,-57.8,-43.4,-42,-61.8,-62.2,-58.4,-77.2,-68.2,-54.8,-58.6,-61,-38.8,-71.25,-79.4,-69.6,20.58,19.6
196,-79.4,-76,-59.8,-60.8,-43,-44.4,-67,-68.4,-61.4,-73.4,-61.2,-58.6,-74,-59.8,-70,-60.8,-42.8,-42.2,-66.8,-66,-61.8,-75,-61.2,-58.8,-62.2,-63.2,-34.2,-72,-75.6,-70,20.58,20.2
197,-80.6,-76,-60.8,-59.2,-48,-44,-66.2,-72.8,-62.8,-77.6,-67.6,-62,-74,-60.8,-70,-59.2,-48,-43.4,-66.2,-72.4,-63.2,-76.2,-67.8,-61.6,-61.2,-65.2,-32.8,-69,-76.25,-65,20.58,20.8
198,-77,-82,-62.8,-59.4,-55.4,-50.2,-66.4,-73.2,-65.8,-80,-74.2,-62.2,-81,-63.6,-76,-59.6,-55.6,-51.2,-66.4,-72,-64.2,-79.4,-74.4,-62.6,-61,-52,-34.4,-68.5,-77.4,-66,21.18,21.4
199,-69.33333333,-69,-64,-68,-55.4,-45.2,-68.4,-80.6,-62.8,-74.2,-61.4,-57.4,-69,-63.8,-78.6,-68.6,-55.8,-45.6,-68,-74.6,-63.2,-73.8,-61.6,-57,-47.2,-66,-56.6,-67.2,-80.25,-62.4,21.18,12.4
200,-79,-81.2,-66.2,-70.8,-61.6,-52.6,-65.2,-81.2,-67.2,-74.6,-70,-59,-81.2,-72,-77.4,-69.4,-61.6,-51.6,-65.6,-80.6,-68,-75.6,-70.2,-58.6,-46.4,-66.8,-52.8,-68.8,-75.8,-66.4,21.18,11.2
201,-67.2,-75,-61,-69.4,-59.8,-49.4,-69.2,-81,-64.2,-72.8,-66,-62.8,-71.4,-61,-83,-69.6,-59.6,-49.6,-68.6,-74.4,-64.6,-73.4,-66.2,-63.4,-49.2,-64.6,-54.6,-68,-78,-65.6,21.18,13
202,-70,-73,-63.8,-67.6,-56.6,-46.6,-67.2,-80,-58,-77,-62.4,-63.2,-73,-62.2,-83,-67.8,-56.6,-45,-67.6,-78.4,-59.6,-76.8,-63,-63.2,-48.8,-70,-53.8,-69.8,-78,-65.6,21.18,13.6
203,-65,-70,-60.8,-63.4,-56.2,-46.4,-64.6,-75,-57,-77.8,-50.4,-56.2,-69.2,-61,-78.2,-63.8,-56.2,-46.4,-64.2,-75.2,-56.8,-77.2,-50.4,-56,-50.2,-67,-53.2,-68.25,-77.75,-61.8,21.18,14.2
204,-65,-68,-65.8,-66.6,-55.8,-45,-66.6,-74.8,-54.8,-77.8,-47,-62.2,-68.4,-65.2,-75,-67.2,-55.8,-43.6,-66.8,-75.2,-54.8,-79,-47.6,-63.2,-47.6,-71.6,-50.2,-65,-73,-68.4,21.18,14.8
205,-73.6,-76,-62.8,-68.2,-55.6,-44.2,-65.8,-73.2,-53.4,-78.2,-50.8,-66.2,-74.8,-63.2,-76.8,-68.4,-55.6,-44,-65.6,-70,-53.2,-78,-50.8,-66.2,-51,-68.6,-52,-64.6,-79,-64.8,21.18,15.4
206,-79.2,-81,-61.6,-66,-49.8,-44.4,-66,-67.2,-54.6,-74.4,-60.4,-59.8,-79.4,-62,-77.8,-65.8,-49.8,-44.2,-66,-68.2,-54.4,-75.2,-60.4,-59.6,-52,-70.8,-49,-71.6,-77.6,-70.4,21.18,16
207,-74.5,-73,-62,-66.2,-48.4,-44.6,-63.2,-62.8,-55.8,-75.2,-57.8,-58.4,-73,-62.2,-75.6,-66.6,-48.4,-45.4,-63.2,-64.2,-55.4,-76,-57.6,-58.8,-54.8,-64.6,-46.4,-75,-72.6,-68.2,21.18,16.6
208,-67.8,-73.8,-63,-71.6,-46.6,-48.8,-63.6,-58.8,-59.8,-76,-63.4,-65.6,-74.2,-64.4,-73,-70.4,-46.6,-52,-63.8,-58.6,-59.8,-77.4,-63.6,-65.6,-60.2,-65.66666667,-52.6,-68,-74.6,-68.4,21.18,17.2
209,-76.6,-74.6,-61.8,-63,-48.8,-45.2,-55.6,-60.8,-59,-77,-58.4,-58,-74,-61.6,-72.2,-62.8,-48.6,-44.4,-55.2,-61,-60,-77,-59,-57.6,-53,-62,-41.2,-70,-69.8,-66.8,21.18,17.8
210,-75.4,-76.2,-63.4,-62.4,-46.2,-42,-63.4,-67.4,-59.6,-75.4,-62.2,-62.8,-75.8,-63.2,-78.6,-62.4,-46.2,-42.2,-63.4,-66,-60,-75.6,-62.4,-63,-53.2,-64.8,-43.2,-71,-69.4,-68.2,21.18,18.4
211,-78.4,-73.8,-68.6,-68.4,-60.8,-47.8,-65,-80.8,-66.4,-76,-63.4,-58.8,-73.8,-68.8,-77.4,-67.6,-60.8,-48.2,-64.6,-81.2,-66,-79,-63.4,-58.6,-51.6,-68.4,-52.4,-70.4,-78.6,-65.2,21.18,11.8
212,-69.8,-77.8,-62,-65.8,-51.2,-42,-56,-67.8,-62.6,-76.2,-67,-57.4,-75.6,-60.6,-70,-65.8,-51,-42,-55.8,-67.2,-62.4,-71.2,-67.4,-57.4,-60,-64.2,-41.8,-66,-76.6,-65.8,21.18,19
213,-86,-81.8,-62.4,-65,-50.8,-42.2,-63.2,-67.4,-61.2,-80,-65.6,-57.6,-81.2,-62.4,-71.8,-65.2,-50.8,-42,-63.4,-67.6,-61,-73.6,-65,-57.6,-60,-61.6,-35,-65.8,-79.5,-66.4,21.18,19.6
214,-82.66666667,-86,-64.6,-62.6,-51.6,-44.2,-66.6,-68.4,-63.6,-77.8,-64.4,-63.8,-86,-63.8,-72.4,-62.8,-51.6,-44.2,-66.4,-68.4,-61.8,-79,-65,-63.6,-55.4,-57.8,-32.8,-65,-75,-60,21.18,20.2
215,-81,-84.4,-65,-64.6,-54.8,-49.4,-62.8,-66.6,-62,-78.4,-63.2,-61.2,-84,-65.8,-78.2,-64.6,-54.8,-49.4,-63,-67.6,-61.6,-78,-63.8,-61.2,-57.6,-59.2,-38,-72,-74,-61.6,21.18,20.8
216,-80,-76,-68.6,-49.2,-50.6,-44.8,-55.8,-62.4,-67.4,-76.6,-65.6,-61,-78,-69,-77.2,-49,-50.6,-43.8,-55.8,-62.6,-68.8,-77.2,-65.2,-61.2,-65,-64.8,-49,-74.6,-65.2,-57.2,14.58,21.4
217,-72,-73.2,-61,-63.2,-53.6,-43.4,-62.2,-72.8,-69.4,-70.6,-48,-54.8,-72,-61,-70.6,-63.2,-53.4,-43,-61.6,-72.6,-70.2,-70,-47.8,-54.6,-57,-73.2,-50.25,-75.4,-90,-60.6,14.58,12.4
218,-76,-80.8,-66.8,-69.2,-54.4,-45.4,-60,-73.8,-64.2,-75.2,-66,-60.2,-81.8,-66.8,-74.4,-69.2,-54.4,-47.8,-60,-73.8,-63.8,-76.4,-65.4,-60.4,-65.8,-65.6,-44.4,-67.25,-72.4,-55.4,14.58,11.2
219,-74.6,-67.2,-63,-59.6,-53.2,-40.4,-67.2,-70.8,-64.8,-68.4,-51.8,-57.2,-68,-63.2,-66.4,-59.8,-53.2,-41.2,-68,-70.4,-65,-68,-52,-57,-55.8,-73,-52.8,-73.4,-90,-63.2,14.58,13
220,-74.5,-71.2,-61.8,-62,-54,-37.2,-61.6,-70.2,-64.2,-74.2,-53.8,-54.4,-71.4,-62.2,-69.4,-61.8,-54,-38,-61.8,-71.2,-64.4,-71.6,-54,-54.6,-56.4,-72.8,-49.6,-67.4,-74.25,-66.4,14.58,13.6
221,-73,-73,-62,-59.2,-54.4,-37.6,-61,-69,-64.6,-69,-58.2,-55.8,-72.2,-62.2,-74.2,-59.2,-54.6,-37.6,-61.2,-69.8,-64.4,-69.6,-58.6,-55.2,-59,-64.4,-48.6,-68.8,-71,-61.8,14.58,14.2
222,-71.25,-73.8,-64.2,-60.6,-53,-40.2,-61.2,-69.4,-63.6,-70.6,-63.8,-56.8,-73.4,-63.2,-75.6,-60,-52.8,-40.2,-61.2,-70.8,-63.8,-70.4,-63.8,-56.4,-62,-67.8,-54.6,-68.4,-71,-65.4,14.58,14.8
223,-69.4,-75,-66.6,-58,-55,-40.4,-59.8,-67.6,-61.4,-70.6,-61.4,-60.4,-72.2,-66.4,-75.2,-58.2,-54.8,-41.2,-60,-67.8,-62.2,-70.6,-61.6,-60.4,-61,-64.6,-49.6,-66.8,-74,-63,14.58,15.4
224,-74.2,-68,-65,-63.4,-53.4,-43.8,-61.8,-66.8,-64.6,-70.2,-63.4,-61.4,-67,-65.6,-70.4,-63.2,-53.4,-42,-62.8,-68.6,-64.2,-70.2,-63.6,-61.6,-58.6,-69,-47.6,-67.4,-77.6,-62.2,14.58,16
225,-76,-76,-65.6,-62,-56.2,-42.4,-61.8,-73,-63.8,-73,-63.2,-64.4,-67,-65.6,-73.8,-61.4,-56.2,-41.8,-61.4,-73.4,-64.2,-73.2,-63.2,-64.2,-62.2,-64.4,-49,-69.8,-77.33333333,-64.6,14.58,16.6
226,-73.75,-73.8,-61.8,-57.6,-56.6,-44,-56.2,-70.6,-63.6,-71,-63.4,-57,-77,-61.8,-78,-57.6,-57,-43.8,-56.2,-70.4,-64,-71.2,-63.8,-57.2,-61.6,-64.2,-48.8,-74.6,-75,-60.8,14.58,17.2
227,-71.4,-73.4,-61.2,-58.2,-53.4,-41.6,-59,-69,-64,-68.4,-62,-55,-74.6,-62,-79.6,-58.6,-53.4,-42.6,-59,-69.4,-65,-67.8,-62.8,-54.4,-62.6,-63.6,-49.6,-73.8,-75,-64,14.58,17.8
228,-71,-74,-66.6,-61,-55.2,-43.8,-57.6,-73.8,-63.8,-69.8,-62.2,-53.8,-73,-66.2,-80.2,-61.4,-55.4,-44.4,-57.6,-72.6,-63.2,-69.8,-62.4,-53.4,-62.8,-60.4,-43.6,-76,-72,-58.2,14.58,18.4
229,-78.5,-76.4,-63.4,-68.4,-51.2,-43.4,-60.8,-74.4,-65.2,-72.4,-55.8,-58.2,-80.8,-63.8,-71.6,-69.6,-51.2,-43.6,-61.2,-73.6,-65.2,-72.4,-55.8,-58.8,-56.8,-66,-46.8,-68,-73,-55.8,14.58,11.8
230,-73,-74,-64.2,-55.6,-53.4,-43.2,-56.4,-69,-67.8,-70,-60.2,-56.4,-73,-64.6,-80.8,-55.6,-53.2,-45.4,-56.6,-69.8,-67.6,-69.8,-60,-56,-61.5,-64.4,-47.8,-75.2,-68.2,-61,14.58,19
231,-71.4,-74,-64.6,-54.4,-49.8,-43.8,-58,-64.4,-65.4,-73.6,-66.8,-58.2,-73,-64.8,-80,-54.4,-49.6,-43.2,-57.8,-65,-65.8,-73.2,-66.8,-57.8,-63.5,-66.2,-42.8,-73,-70,-60.6,14.58,19.6
232,-71.66666667,-74,-66.6,-55.8,-50.8,-45.4,-60.6,-57.4,-65.4,-74,-60.8,-59.6,-74,-66.6,-81,-56,-50.8,-45.4,-61,-57.8,-65.4,-73,-60.4,-60,-61.8,-60.6,-43,-70,-66.6,-64.4,14.58,20.2
233,-73,-76,-68.2,-52.2,-55,-46.6,-55,-62.4,-65.2,-74,-64.8,-60,-78,-66.8,-80.6,-52,-55,-43,-55,-62.6,-65,-74.6,-64.8,-60.2,-61,-63.6,-46.2,-77.5,-63.2,-62.8,14.58,20.8
